Collection,Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google selfuct Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
Feat-men,blanketblend-hoodie-limited-edition-bluesky,BlanketBlend Hoodie <br> (Limited Edition) - BlueSky,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>These limited edition hoodies are made in small batches right here in California Our custom developed BlanketBlend fabric combines the comfort of cotton with the performance features of polyester finished off with a rare yarn amp ButterWash process to create a super soft durable hoodie for every occasion Super Soft Fluffy Outside Smooth Inside Hidden Accessories Pocket</sectionBody></section><section id=""2""><sectionTitle>Size &amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp; Returns</sectionTitle><sectionBody>Free shipping and returns for orders above $75</sectionBody></section></sections>",Feat-men,,"feat socks, the softest hoodies ever,  tab1 blanketblend size guide,  tab2 blanketblend fabric, blanketblend, dye, large, medium, pastel pebble, pastelpebble, small, tie die, tie dye, xl, xxl",,Title,Default Title,Link,https://featsocks.com/products/blanketblend-hoodie-limited-edition?variant=31231892357185,Sizes,"S,M,L,XL,XXL",,0,,deny,manual,118.00,,True,True,,https://cdn.shopify.com/s/files/1/0721/2253/products/feat-hoodie-3-s1.jpg?v=1575481494,1,,FALSE,,,,,,,,,,,,,,,,,,,
Feat-men,blanketblend-hoodie-limited-edition-carmelswirl,BlanketBlend Hoodie <br> (Limited Edition) - CarmelSwirl,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>These limited edition hoodies are made in small batches right here in California Our custom developed BlanketBlend fabric combines the comfort of cotton with the performance features of polyester finished off with a rare yarn amp ButterWash process to create a super soft durable hoodie for every occasion Super Soft Fluffy Outside Smooth Inside Hidden Accessories Pocket</sectionBody></section><section id=""2""><sectionTitle>Size &amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp; Returns</sectionTitle><sectionBody>Free shipping and returns for orders above $75</sectionBody></section></sections>",Feat-men,,"feat socks, the softest hoodies ever,  tab1 blanketblend size guide,  tab2 blanketblend fabric, blanketblend, dye, large, medium, pastel pebble, pastelpebble, small, tie die, tie dye, xl, xxl",,Title,Default Title,Link,https://featsocks.com/products/blanketblend-hoodie-limited-edition?variant=31370162995265,Sizes,"S,M,L,XL,XXL",,0,,deny,manual,118.00,,True,True,,https://cdn.shopify.com/s/files/1/0721/2253/products/tiedye-2-s1_1800x1800_528d5116-6c1a-48d8-8e38-53e159689fc0.jpg?v=1578975184,1,,FALSE,,,,,,,,,,,,,,,,,,,
Feat-men,blanketblend-hoodie-limited-edition-pastelpebble,BlanketBlend Hoodie <br> (Limited Edition) - PastelPebble,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>These limited edition hoodies are made in small batches right here in California Our custom developed BlanketBlend fabric combines the comfort of cotton with the performance features of polyester finished off with a rare yarn amp ButterWash process to create a super soft durable hoodie for every occasion Super Soft Fluffy Outside Smooth Inside Hidden Accessories Pocket</sectionBody></section><section id=""2""><sectionTitle>Size &amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp; Returns</sectionTitle><sectionBody>Free shipping and returns for orders above $75</sectionBody></section></sections>",Feat-men,,"feat socks, the softest hoodies ever,  tab1 blanketblend size guide,  tab2 blanketblend fabric, blanketblend, dye, large, medium, pastel pebble, pastelpebble, small, tie die, tie dye, xl, xxl",,Title,Default Title,Link,https://featsocks.com/products/blanketblend-hoodie-limited-edition?variant=31370172563521,Sizes,"S,M,L,XL,XXL",,0,,deny,manual,118.00,,True,True,,https://cdn.shopify.com/s/files/1/0721/2253/products/tiedye-1-s1_1800x1800_ce935929-68a7-4cea-a1eb-f6383423bf97.jpg?v=1578975681,1,,FALSE,,,,,,,,,,,,,,,,,,,
Feat-men,frenchteddy-zipper-hoodie-5-oatmilk,FrenchTeddy Zipper Hoodie - Oatmilk,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>Free Shipping Free Returns Happiness Guarantee Soft Durable Lovable We set out to find the perfect balance between durability and comfort FrenchTeddy is the result This slim fit unisex full zip hoodie is an all time classic Mid weight</sectionBody></section><section id=""2""><sectionTitle>Size &amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp; Returns</sectionTitle><sectionBody>Free shipping and returns for orders above $75</sectionBody></section></sections>",Feat-men,hoodies,"feat socks, the softest hoodies ever,  tab1 frenchteddy size guide,  tab2 frenchteddy fabric,  tab3 why we love frenchteddy, frenchteddy, large, medium, small, xl, xsmall, xxl, zipper",,Title,Default Title,Link,https://featsocks.com/products/frenchteddy-zipper-hoodie-5?variant=29491805651009,Sizes,"S,M,L,XL,XXL",,227,,deny,manual,89.00,,True,True,,https://cdn.shopify.com/s/files/1/0721/2253/products/french-1-s1_ef60d430-0e85-436b-99dd-b7d9e7633c4d.jpg?v=1571261575,1,,FALSE,,,,,,,,,,,,,,,,,,,
Feat-men,frenchteddy-zipper-hoodie-5-oatmilk,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0721/2253/products/french-1-s2_8937a7b4-c273-4aab-a5dd-3896da263ff5.jpg?v=1571261575,2
Feat-men,frenchteddy-zipper-hoodie-5-sky,FrenchTeddy Zipper Hoodie - Sky,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>Free Shipping Free Returns Happiness Guarantee Soft Durable Lovable We set out to find the perfect balance between durability and comfort FrenchTeddy is the result This slim fit unisex full zip hoodie is an all time classic Mid weight</sectionBody></section><section id=""2""><sectionTitle>Size &amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp; Returns</sectionTitle><sectionBody>Free shipping and returns for orders above $75</sectionBody></section></sections>",Feat-men,hoodies,"feat socks, the softest hoodies ever,  tab1 frenchteddy size guide,  tab2 frenchteddy fabric,  tab3 why we love frenchteddy, frenchteddy, large, medium, small, xl, xsmall, xxl, zipper",,Title,Default Title,Link,https://featsocks.com/products/frenchteddy-zipper-hoodie-5?variant=29491805585473,Sizes,"S,M,L,XL,XXL",,227,,deny,manual,89.00,,True,True,,https://cdn.shopify.com/s/files/1/0721/2253/products/french-3-s1_8e46959c-b488-4740-a6f8-1b9fd2bb279a.jpg?v=1571261575,1,,FALSE,,,,,,,,,,,,,,,,,,,
Feat-men,frenchteddy-zipper-hoodie-5-sky,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0721/2253/products/french-3-s2_fed1ec47-2f59-4245-b0c6-769e4d121e0b.jpg?v=1571261575,2
Feat-men,frenchteddy-zipper-hoodie-5-golden hour,FrenchTeddy Zipper Hoodie - Golden Hour,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>Free Shipping Free Returns Happiness Guarantee Soft Durable Lovable We set out to find the perfect balance between durability and comfort FrenchTeddy is the result This slim fit unisex full zip hoodie is an all time classic Mid weight</sectionBody></section><section id=""2""><sectionTitle>Size &amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp; Returns</sectionTitle><sectionBody>Free shipping and returns for orders above $75</sectionBody></section></sections>",Feat-men,hoodies,"feat socks, the softest hoodies ever,  tab1 frenchteddy size guide,  tab2 frenchteddy fabric,  tab3 why we love frenchteddy, frenchteddy, large, medium, small, xl, xsmall, xxl, zipper",,Title,Default Title,Link,https://featsocks.com/products/frenchteddy-zipper-hoodie-5?variant=29491805618241,Sizes,"S,M,L,XL,XXL",,227,,deny,manual,89.00,,True,True,,https://cdn.shopify.com/s/files/1/0721/2253/products/french-2-s1_52fc9085-46f5-43ae-96a3-49e9694a4711.jpg?v=1571261575,1,,FALSE,,,,,,,,,,,,,,,,,,,
Feat-men,frenchteddy-zipper-hoodie-5-golden hour,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0721/2253/products/french-2-s2_b718135a-a46c-44cf-8746-d981a183d344.jpg?v=1571261575,2
Feat-men,frenchteddy-zipper-hoodie-5-navy,FrenchTeddy Zipper Hoodie - Navy,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>Free Shipping Free Returns Happiness Guarantee Soft Durable Lovable We set out to find the perfect balance between durability and comfort FrenchTeddy is the result This slim fit unisex full zip hoodie is an all time classic Mid weight</sectionBody></section><section id=""2""><sectionTitle>Size &amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp; Returns</sectionTitle><sectionBody>Free shipping and returns for orders above $75</sectionBody></section></sections>",Feat-men,hoodies,"feat socks, the softest hoodies ever,  tab1 frenchteddy size guide,  tab2 frenchteddy fabric,  tab3 why we love frenchteddy, frenchteddy, large, medium, small, xl, xsmall, xxl, zipper",,Title,Default Title,Link,https://featsocks.com/products/frenchteddy-zipper-hoodie-5?variant=29491805552705,Sizes,"S,M,L,XL,XXL",,227,,deny,manual,89.00,,True,True,,https://cdn.shopify.com/s/files/1/0721/2253/products/french-5-s1_3ebff812-d55b-41fb-9659-fbc2e14baa04.jpg?v=1571261575,1,,FALSE,,,,,,,,,,,,,,,,,,,
