Collection,Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google selfuct Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
,passage-pant-moss,Passage Pant - Moss,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>Description 4 way stretch Durable CORDURA threads Think your favorite jeans updated for everyday performance Details Fits true to size Model is 6 1 175 lbs and wearing 32 Stainless steel Italian button and rivets Fifth front pocket for secure carry Fabric Passage Stretch Weave Durable flexible soft and light All weather and all purpose 4 way stretch Gusseted crotch for freedom of movement Italian hardware Product Care Machine wash cold Lay flat to dry</sectionBody></section><section id=""2""><sectionTitle>Size &amp;amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp;amp; Returns</sectionTitle><sectionBody> We offer returns using our label for an $8 fee deducted from your refund, or you can return using your own carrier or a refund to store credit for no charge. Returns and exchanges must be received in original, unused and unwashed condition. All returns must be postmarked within 60 days from order date to be eligible for a return.</sectionBody></section><sizes><size instock=""true""><string>30</string><variant>20761345851495</variant></size><size instock=""true""><string>31</string><variant>20761345917031</variant></size><size instock=""true""><string>32</string><variant>20761345982567</variant></size><size instock=""true""><string>33</string><variant>20761346015335</variant></size><size instock=""true""><string>34</string><variant>20761346113639</variant></size><size instock=""true""><string>36</string><variant>20761346179175</variant></size><size instock=""false""><string>38</string><variant>20761346080871</variant></size></sizes></sections>",Olivers-men,pants,"industry:Apparel, olivers-apparel, pants, featured-all-over-shorts, featured-capital, featured-convoy-tee",,Title,Default Title,Link,https://oliversapparel.com/products/passage-pant?variant=20761345851495,,,,397,,deny,manual,148.00,,True,True,,https://cdn.shopify.com/s/files/1/0266/4899/products/PassagePant-Moss-2.jpg?v=1582160973,1,,FALSE,,,,,,,,,,,,,,,,,,,
,passage-pant-blue-steel,Passage Pant - Blue Steel,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>Description 4 way stretch Durable CORDURA threads Think your favorite jeans updated for everyday performance Details Fits true to size Model is 6 1 175 lbs and wearing 32 Stainless steel Italian button and rivets Fifth front pocket for secure carry Fabric Passage Stretch Weave Durable flexible soft and light All weather and all purpose 4 way stretch Gusseted crotch for freedom of movement Italian hardware Product Care Machine wash cold Lay flat to dry</sectionBody></section><section id=""2""><sectionTitle>Size &amp;amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp;amp; Returns</sectionTitle><sectionBody> We offer returns using our label for an $8 fee deducted from your refund, or you can return using your own carrier or a refund to store credit for no charge. Returns and exchanges must be received in original, unused and unwashed condition. All returns must be postmarked within 60 days from order date to be eligible for a return.</sectionBody></section><sizes><size instock=""true""><string>28</string><variant>31994494845031</variant></size><size instock=""true""><string>29</string><variant>31994495729767</variant></size><size instock=""true""><string>30</string><variant>29958727008359</variant></size><size instock=""true""><string>31</string><variant>29958727041127</variant></size><size instock=""true""><string>32</string><variant>29958727073895</variant></size><size instock=""true""><string>33</string><variant>29958727106663</variant></size><size instock=""true""><string>34</string><variant>29958727139431</variant></size><size instock=""true""><string>36</string><variant>29958727172199</variant></size><size instock=""false""><string>38</string><variant>29958727204967</variant></size><size instock=""true""><string>40</string><variant>31966603378791</variant></size></sizes></sections>",Olivers-men,pants,"industry:Apparel, olivers-apparel, pants, featured-all-over-shorts, featured-capital, featured-convoy-tee",,Title,Default Title,Link,https://oliversapparel.com/products/passage-pant?variant=31994494845031,,,,397,,deny,manual,148.00,,True,True,,https://cdn.shopify.com/s/files/1/0266/4899/products/Passage_Pant_-_Blue_Steel_jpg.jpg?v=1582160973,1,,FALSE,,,,,,,,,,,,,,,,,,,
,passage-pant-dark-indigo,Passage Pant - Dark Indigo,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>Description 4 way stretch Durable CORDURA threads Think your favorite jeans updated for everyday performance Details Fits true to size Model is 6 1 175 lbs and wearing 32 Stainless steel Italian button and rivets Fifth front pocket for secure carry Fabric Passage Stretch Weave Durable flexible soft and light All weather and all purpose 4 way stretch Gusseted crotch for freedom of movement Italian hardware Product Care Machine wash cold Lay flat to dry</sectionBody></section><section id=""2""><sectionTitle>Size &amp;amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp;amp; Returns</sectionTitle><sectionBody> We offer returns using our label for an $8 fee deducted from your refund, or you can return using your own carrier or a refund to store credit for no charge. Returns and exchanges must be received in original, unused and unwashed condition. All returns must be postmarked within 60 days from order date to be eligible for a return.</sectionBody></section><sizes><size instock=""true""><string>28</string><variant>31994500874343</variant></size><size instock=""true""><string>29</string><variant>31994501660775</variant></size><size instock=""true""><string>30</string><variant>12658758451303</variant></size><size instock=""true""><string>31</string><variant>12658758713447</variant></size><size instock=""true""><string>32</string><variant>12658761138279</variant></size><size instock=""true""><string>33</string><variant>12658761400423</variant></size><size instock=""true""><string>34</string><variant>12658761826407</variant></size><size instock=""true""><string>36</string><variant>12658762907751</variant></size><size instock=""true""><string>38</string><variant>12921370509415</variant></size><size instock=""true""><string>40</string><variant>31966634213479</variant></size></sizes></sections>",Olivers-men,pants,"industry:Apparel, olivers-apparel, pants, featured-all-over-shorts, featured-capital, featured-convoy-tee",,Title,Default Title,Link,https://oliversapparel.com/products/passage-pant?variant=31994500874343,,,,397,,deny,manual,148.00,,True,True,,https://cdn.shopify.com/s/files/1/0266/4899/products/Passage_Pant_-_Dark_Indigo_jpg.jpg?v=1582160973,1,,FALSE,,,,,,,,,,,,,,,,,,,
,passage-pant-olive,Passage Pant - Olive,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>Description 4 way stretch Durable CORDURA threads Think your favorite jeans updated for everyday performance Details Fits true to size Model is 6 1 175 lbs and wearing 32 Stainless steel Italian button and rivets Fifth front pocket for secure carry Fabric Passage Stretch Weave Durable flexible soft and light All weather and all purpose 4 way stretch Gusseted crotch for freedom of movement Italian hardware Product Care Machine wash cold Lay flat to dry</sectionBody></section><section id=""2""><sectionTitle>Size &amp;amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp;amp; Returns</sectionTitle><sectionBody> We offer returns using our label for an $8 fee deducted from your refund, or you can return using your own carrier or a refund to store credit for no charge. Returns and exchanges must be received in original, unused and unwashed condition. All returns must be postmarked within 60 days from order date to be eligible for a return.</sectionBody></section><sizes><size instock=""true""><string>30</string><variant>29958696665191</variant></size><size instock=""true""><string>31</string><variant>29958696697959</variant></size><size instock=""true""><string>32</string><variant>29958696730727</variant></size><size instock=""true""><string>33</string><variant>29958696763495</variant></size><size instock=""true""><string>34</string><variant>29958696796263</variant></size><size instock=""true""><string>36</string><variant>29958696829031</variant></size><size instock=""false""><string>38</string><variant>29958705053799</variant></size><size instock=""true""><string>28</string><variant>31994504314983</variant></size><size instock=""true""><string>29</string><variant>31994505035879</variant></size></sizes></sections>",Olivers-men,pants,"industry:Apparel, olivers-apparel, pants, featured-all-over-shorts, featured-capital, featured-convoy-tee",,Title,Default Title,Link,https://oliversapparel.com/products/passage-pant?variant=29958696665191,,,,397,,deny,manual,148.00,,True,True,,https://cdn.shopify.com/s/files/1/0266/4899/products/Passage_Pant_-_Olive_jpg.jpg?v=1582160973,1,,FALSE,,,,,,,,,,,,,,,,,,,
,passage-pant-khaki,Passage Pant - Khaki,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>Description 4 way stretch Durable CORDURA threads Think your favorite jeans updated for everyday performance Details Fits true to size Model is 6 1 175 lbs and wearing 32 Stainless steel Italian button and rivets Fifth front pocket for secure carry Fabric Passage Stretch Weave Durable flexible soft and light All weather and all purpose 4 way stretch Gusseted crotch for freedom of movement Italian hardware Product Care Machine wash cold Lay flat to dry</sectionBody></section><section id=""2""><sectionTitle>Size &amp;amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp;amp; Returns</sectionTitle><sectionBody> We offer returns using our label for an $8 fee deducted from your refund, or you can return using your own carrier or a refund to store credit for no charge. Returns and exchanges must be received in original, unused and unwashed condition. All returns must be postmarked within 60 days from order date to be eligible for a return.</sectionBody></section><sizes><size instock=""true""><string>28</string><variant>31994502971495</variant></size><size instock=""true""><string>29</string><variant>31994503266407</variant></size><size instock=""true""><string>30</string><variant>29958736937063</variant></size><size instock=""true""><string>31</string><variant>29958736969831</variant></size><size instock=""true""><string>32</string><variant>29958737002599</variant></size><size instock=""true""><string>33</string><variant>29958737035367</variant></size><size instock=""true""><string>34</string><variant>29958737068135</variant></size><size instock=""true""><string>36</string><variant>29958737100903</variant></size><size instock=""true""><string>38</string><variant>29958737133671</variant></size><size instock=""false""><string>40</string><variant>31966635819111</variant></size></sizes></sections>",Olivers-men,pants,"industry:Apparel, olivers-apparel, pants, featured-all-over-shorts, featured-capital, featured-convoy-tee",,Title,Default Title,Link,https://oliversapparel.com/products/passage-pant?variant=31994502971495,,,,397,,deny,manual,148.00,,True,True,,https://cdn.shopify.com/s/files/1/0266/4899/products/Passage_Pant_-_Khaki_jpg.jpg?v=1582160973,1,,FALSE,,,,,,,,,,,,,,,,,,,
,passage-pant-khaki,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0266/4899/products/1_Retouched_Web_2a6a6289-e0fb-4bba-a556-f749509cac48.jpg?v=1582160973,2
,passage-pant-khaki,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0266/4899/products/2_Retouched_Web_862b4e88-7691-465a-ab59-ed5063b2c12e.jpg?v=1582160973,3
,passage-pant-khaki,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0266/4899/products/3_Retouched_Web_27c2340b-613b-474e-b1bb-8090d967e3a2.jpg?v=1582160973,4
,passage-pant-khaki,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0266/4899/products/4_Retouched_Web_3ba8bd8b-d9ba-4d1b-bc47-fbe132c48d64.jpg?v=1582160973,5
,passage-pant-khaki,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0266/4899/products/GM_Retouched_Web_1_6a23a191-1c79-4546-9569-febc616c01dd.jpg?v=1582160973,6
,passage-pant-khaki,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0266/4899/products/3_Retouched_Web_1_24d0273d-4f3b-4375-b2b8-1ee29d84fea1.jpg?v=1582160973,7
