Collection,Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google selfuct Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
,soothing-beard-oil,Soothing Beard Oil,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody /></section><section id=""2""><sectionTitle>Size &amp;amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp;amp; Returns</sectionTitle><sectionBody>We do not accept returns for free trial, bulk, or commitment plan orders. Orders must be returned within 30 days of the original delivery date, as stated by the tracking number. Returns processed after the 30 day window are not be eligible for a refund.</sectionBody></section><sizes><size instock=""true""><string>15ML</string><variant>33232609706037</variant></size></sizes></sections>",Lumin-men,,"industry:Grooming, lumin, ",,Title,Default Title,Link,https://www.luminskin.com/products/soothing-beard-oil,,,,0,,deny,manual,18.00,,True,True,,https://cdn.shopify.com/s/files/1/0044/1237/5107/products/20201105-LUMIN-ECOMM-FALL-BEARD-OIL.png?v=1605575285,1,,FALSE,,,,,,,,,,,,,,,,,,,
,sinktop-valet,Sinktop Valet,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody /></section><section id=""2""><sectionTitle>Size &amp;amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp;amp; Returns</sectionTitle><sectionBody>We do not accept returns for free trial, bulk, or commitment plan orders. Orders must be returned within 30 days of the original delivery date, as stated by the tracking number. Returns processed after the 30 day window are not be eligible for a refund.</sectionBody></section><sizes><size instock=""true""><string>OS</string><variant>31502355300405</variant></size></sizes></sections>",Lumin-men,,"industry:Grooming, lumin, ",,Title,Default Title,Link,https://www.luminskin.com/products/sinktop-valet,,,,0,,deny,manual,30.00,,True,True,,https://cdn.shopify.com/s/files/1/0044/1237/5107/products/f7036841a415a7e3654776f2d62333fb.jpg?v=1576854901,1,,FALSE,,,,,,,,,,,,,,,,,,,
,sinktop-valet,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0044/1237/5107/products/f7036841a415a7e3654776f2d62333fb_0849b06b-7cee-4a80-9e35-591714a1a008.jpg?v=1576854901,2
