Collection,Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google selfuct Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
,the-quiet-life-shhh-beanie-fa20-d1-gold,Shhh Beanie - Gold,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>Soft touch acrylic Direct embroiodery</sectionBody></section><section id=""2""><sectionTitle>Size &amp;amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp;amp; Returns</sectionTitle><sectionBody>Standard delivery is 3-7 working days, depending on the service you choose. Customs of each country may delay this time. The shipping cost will depend on size and weight of your package. With USPS, once your parcel has arrived in your country, it will be passed on to an internal postal service, according to standard delivery procedures. A signature is required upon delivery.</sectionBody></section><sizes><size instock=""true""><string>OS</string><variant>36503376625817</variant></size></sizes></sections>",Quiet Life-men,hats,"industry:Apparel, quiet-life, new-arrivals, 20fad1, 20fad1-beanie, 20fad1-headwear, 20fad1-sale-headwear, 20fad1sale, zdfa20d1, hats, beanie-hats",,Title,Default Title,Link,https://thequietlife.com/products/the-quiet-life-shhh-beanie-fa20-d1?variant=36503376625817,,,,175,,deny,manual,28.00,,True,True,,https://cdn.shopify.com/s/files/1/0612/2005/products/20FAD1-1214_3_GLD_275361b8-0452-492e-ac14-d9f60dca7a4e.jpg?v=1601597984,1,,FALSE,,,,,,,,,,,,,,,,,,,
,the-quiet-life-la-vie-5-panel-camper-hat-made-in-usa-fa20-d1-black,La Vie 5 Panel Camper Hat - Made in USA - Black,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>Brushed cotton Direct embroidery Flag label on clasp back strap Made in USA</sectionBody></section><section id=""2""><sectionTitle>Size &amp;amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp;amp; Returns</sectionTitle><sectionBody>Standard delivery is 3-7 working days, depending on the service you choose. Customs of each country may delay this time. The shipping cost will depend on size and weight of your package. With USPS, once your parcel has arrived in your country, it will be passed on to an internal postal service, according to standard delivery procedures. A signature is required upon delivery.</sectionBody></section><sizes><size instock=""true""><string>OS</string><variant>36503370793113</variant></size></sizes></sections>",Quiet Life-men,hats,"industry:Apparel, quiet-life, new-arrivals, 20fad1, 20fad1-5panel, 20fad1-headwear, 20fad1-sale-headwear, 20fad1sale, la-vie-collection, zdfa20d1, hats, capsules, 5-panel-hats",,Title,Default Title,Link,https://thequietlife.com/products/the-quiet-life-la-vie-5-panel-camper-hat-made-in-usa-fa20-d1?variant=36503370793113,,,,175,,deny,manual,40.00,,True,True,,https://cdn.shopify.com/s/files/1/0612/2005/products/20FAD1-1192_1_BLK_bdc3fcfc-e707-4d9c-a9fb-212d074af404.jpg?v=1601597939,1,,FALSE,,,,,,,,,,,,,,,,,,,
,the-quiet-life-rainbow-t-fa20-d1-white,Rainbow T - White,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>100 cotton Available in classic 6oz thick or premium 4 3oz thin fit Front print</sectionBody></section><section id=""2""><sectionTitle>Size &amp;amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp;amp; Returns</sectionTitle><sectionBody>Standard delivery is 3-7 working days, depending on the service you choose. Customs of each country may delay this time. The shipping cost will depend on size and weight of your package. With USPS, once your parcel has arrived in your country, it will be passed on to an internal postal service, according to standard delivery procedures. A signature is required upon delivery.</sectionBody></section><sizes><size instock=""false""><string>XS - Standard (Thick)</string><variant>36503362928793</variant></size><size instock=""true""><string>S - Standard (Thick)</string><variant>36503362961561</variant></size><size instock=""true""><string>M - Standard (Thick)</string><variant>36503362994329</variant></size><size instock=""true""><string>L - Standard (Thick)</string><variant>36503363027097</variant></size><size instock=""true""><string>XL - Standard (Thick)</string><variant>36503363059865</variant></size><size instock=""false""><string>XS - Premium (Thin)</string><variant>36503363256473</variant></size><size instock=""true""><string>S - Premium (Thin)</string><variant>36503363289241</variant></size><size instock=""true""><string>M - Premium (Thin)</string><variant>36503363322009</variant></size><size instock=""true""><string>L - Premium (Thin)</string><variant>36503363354777</variant></size><size instock=""true""><string>XL - Premium (Thin)</string><variant>36503363387545</variant></size></sizes></sections>",Quiet Life-men,t shirt,"industry:Apparel, quiet-life, new-arrivals, 20fad1, 20fad1-sale-tshirts, 20fad1-short-sleeve-t, 20fad1-tshirts, 20fad1sale, zdfa20d1, t-shirts, graphic-ts",,Title,Default Title,Link,https://thequietlife.com/products/the-quiet-life-rainbow-t-fa20-d1?variant=36503362928793,,,,90,,deny,manual,32.00,,True,True,,https://cdn.shopify.com/s/files/1/0612/2005/products/20FAD1-1177_1_WHT_423bc4db-a6ce-444d-9136-1615043d844c.jpg?v=1601597910,1,,FALSE,,,,,,,,,,,,,,,,,,,
,the-quiet-life-rainbow-t-fa20-d1-black,Rainbow T - Black,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>100 cotton Available in classic 6oz thick or premium 4 3oz thin fit Front print</sectionBody></section><section id=""2""><sectionTitle>Size &amp;amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp;amp; Returns</sectionTitle><sectionBody>Standard delivery is 3-7 working days, depending on the service you choose. Customs of each country may delay this time. The shipping cost will depend on size and weight of your package. With USPS, once your parcel has arrived in your country, it will be passed on to an internal postal service, according to standard delivery procedures. A signature is required upon delivery.</sectionBody></section><sizes><size instock=""false""><string>XS - Standard (Thick)</string><variant>36503363092633</variant></size><size instock=""true""><string>S - Standard (Thick)</string><variant>36503363125401</variant></size><size instock=""true""><string>M - Standard (Thick)</string><variant>36503363158169</variant></size><size instock=""true""><string>L - Standard (Thick)</string><variant>36503363190937</variant></size><size instock=""true""><string>XL - Standard (Thick)</string><variant>36503363223705</variant></size><size instock=""false""><string>XS - Premium (Thin)</string><variant>36503363420313</variant></size><size instock=""true""><string>S - Premium (Thin)</string><variant>36503363453081</variant></size><size instock=""true""><string>M - Premium (Thin)</string><variant>36503363485849</variant></size><size instock=""true""><string>L - Premium (Thin)</string><variant>36503363518617</variant></size><size instock=""true""><string>XL - Premium (Thin)</string><variant>36503363551385</variant></size></sizes></sections>",Quiet Life-men,t shirt,"industry:Apparel, quiet-life, new-arrivals, 20fad1, 20fad1-sale-tshirts, 20fad1-short-sleeve-t, 20fad1-tshirts, 20fad1sale, zdfa20d1, t-shirts, graphic-ts",,Title,Default Title,Link,https://thequietlife.com/products/the-quiet-life-rainbow-t-fa20-d1?variant=36503363092633,,,,90,,deny,manual,32.00,,True,True,,https://cdn.shopify.com/s/files/1/0612/2005/products/20FAD1-1178_2_BLK_09619a81-70e4-47a9-85ce-0dbbebfcddf6.jpg?v=1601597910,1,,FALSE,,,,,,,,,,,,,,,,,,,
,the-quiet-life-shhh-logo-t-fa20-d1-slate,Shhh Logo T - Slate,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>100 cotton Available in classic 6oz thick or premium 4 3oz thin fit Front and back prints</sectionBody></section><section id=""2""><sectionTitle>Size &amp;amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp;amp; Returns</sectionTitle><sectionBody>Standard delivery is 3-7 working days, depending on the service you choose. Customs of each country may delay this time. The shipping cost will depend on size and weight of your package. With USPS, once your parcel has arrived in your country, it will be passed on to an internal postal service, according to standard delivery procedures. A signature is required upon delivery.</sectionBody></section><sizes><size instock=""false""><string>XS - Standard (Thick)</string><variant>36503360962713</variant></size><size instock=""true""><string>S - Standard (Thick)</string><variant>36503360995481</variant></size><size instock=""true""><string>M - Standard (Thick)</string><variant>36503361028249</variant></size><size instock=""true""><string>L - Standard (Thick)</string><variant>36503361061017</variant></size><size instock=""true""><string>XL - Standard (Thick)</string><variant>36503361093785</variant></size><size instock=""false""><string>XS - Premium (Thin)</string><variant>36503361290393</variant></size><size instock=""true""><string>S - Premium (Thin)</string><variant>36503361355929</variant></size><size instock=""true""><string>M - Premium (Thin)</string><variant>36503361388697</variant></size><size instock=""true""><string>L - Premium (Thin)</string><variant>36503361421465</variant></size><size instock=""true""><string>XL - Premium (Thin)</string><variant>36503361454233</variant></size></sizes></sections>",Quiet Life-men,t shirt,"industry:Apparel, quiet-life, new-arrivals, 20fad1, 20fad1-sale-tshirts, 20fad1-short-sleeve-t, 20fad1-tshirts, 20fad1sale, zdfa20d1, t-shirts, graphic-ts",,Title,Default Title,Link,https://thequietlife.com/products/the-quiet-life-shhh-logo-t-fa20-d1?variant=36503360962713,,,,90,,deny,manual,32.00,,True,True,,https://cdn.shopify.com/s/files/1/0612/2005/products/20FAD1-1173_1_SLT_8eeac106-8393-4263-9016-08e011498e90.jpg?v=1601597905,1,,FALSE,,,,,,,,,,,,,,,,,,,
,the-quiet-life-shhh-logo-t-fa20-d1-slate,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0612/2005/products/20FAD1-1173_2_f3b66d82-6a17-451a-8e0a-13eba75608c4.jpg?v=1601597905,2
,the-quiet-life-shhh-logo-t-fa20-d1-white,Shhh Logo T - White,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>100 cotton Available in classic 6oz thick or premium 4 3oz thin fit Front and back prints</sectionBody></section><section id=""2""><sectionTitle>Size &amp;amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp;amp; Returns</sectionTitle><sectionBody>Standard delivery is 3-7 working days, depending on the service you choose. Customs of each country may delay this time. The shipping cost will depend on size and weight of your package. With USPS, once your parcel has arrived in your country, it will be passed on to an internal postal service, according to standard delivery procedures. A signature is required upon delivery.</sectionBody></section><sizes><size instock=""false""><string>XS - Standard (Thick)</string><variant>36503361126553</variant></size><size instock=""true""><string>S - Standard (Thick)</string><variant>36503361159321</variant></size><size instock=""true""><string>M - Standard (Thick)</string><variant>36503361192089</variant></size><size instock=""true""><string>L - Standard (Thick)</string><variant>36503361224857</variant></size><size instock=""true""><string>XL - Standard (Thick)</string><variant>36503361257625</variant></size><size instock=""false""><string>XS - Premium (Thin)</string><variant>36503361487001</variant></size><size instock=""true""><string>S - Premium (Thin)</string><variant>36503361519769</variant></size><size instock=""true""><string>M - Premium (Thin)</string><variant>36503361585305</variant></size><size instock=""true""><string>L - Premium (Thin)</string><variant>36503361618073</variant></size><size instock=""true""><string>XL - Premium (Thin)</string><variant>36503361650841</variant></size></sizes></sections>",Quiet Life-men,t shirt,"industry:Apparel, quiet-life, new-arrivals, 20fad1, 20fad1-sale-tshirts, 20fad1-short-sleeve-t, 20fad1-tshirts, 20fad1sale, zdfa20d1, t-shirts, graphic-ts",,Title,Default Title,Link,https://thequietlife.com/products/the-quiet-life-shhh-logo-t-fa20-d1?variant=36503361126553,,,,90,,deny,manual,32.00,,True,True,,https://cdn.shopify.com/s/files/1/0612/2005/products/20FAD1-1174_3_WHT_e56c951f-6b77-424f-9db1-cc87e154c779.jpg?v=1601597905,1,,FALSE,,,,,,,,,,,,,,,,,,,
,the-quiet-life-shhh-logo-t-fa20-d1-white,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0612/2005/products/20FAD1-1174_4_c378832b-582c-408f-9c1f-1faa7d64d8fb.jpg?v=1601597905,2
,the-quiet-life-rabbit-t-fa20-d1-black,Rabbit T - Black,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>100 cotton Available in classic 6oz thick or premium 4 3oz thin fit Front print</sectionBody></section><section id=""2""><sectionTitle>Size &amp;amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp;amp; Returns</sectionTitle><sectionBody>Standard delivery is 3-7 working days, depending on the service you choose. Customs of each country may delay this time. The shipping cost will depend on size and weight of your package. With USPS, once your parcel has arrived in your country, it will be passed on to an internal postal service, according to standard delivery procedures. A signature is required upon delivery.</sectionBody></section><sizes><size instock=""false""><string>XS - Standard (Thick)</string><variant>36503350968473</variant></size><size instock=""true""><string>S - Standard (Thick)</string><variant>36503351001241</variant></size><size instock=""true""><string>M - Standard (Thick)</string><variant>36503351034009</variant></size><size instock=""true""><string>L - Standard (Thick)</string><variant>36503351066777</variant></size><size instock=""true""><string>XL - Standard (Thick)</string><variant>36503351099545</variant></size><size instock=""false""><string>XS - Premium (Thin)</string><variant>36503351296153</variant></size><size instock=""true""><string>S - Premium (Thin)</string><variant>36503351328921</variant></size><size instock=""true""><string>M - Premium (Thin)</string><variant>36503351361689</variant></size><size instock=""true""><string>L - Premium (Thin)</string><variant>36503351394457</variant></size><size instock=""true""><string>XL - Premium (Thin)</string><variant>36503351427225</variant></size></sizes></sections>",Quiet Life-men,t shirt,"industry:Apparel, quiet-life, new-arrivals, 20fad1, 20fad1-sale-tshirts, 20fad1-short-sleeve-t, 20fad1-tshirts, 20fad1sale, zdfa20d1, t-shirts, graphic-ts",,Title,Default Title,Link,https://thequietlife.com/products/the-quiet-life-rabbit-t-fa20-d1?variant=36503350968473,,,,90,,deny,manual,32.00,,True,True,,https://cdn.shopify.com/s/files/1/0612/2005/products/20FAD1-1149_1_BLK_f1c39005-5790-415c-9928-7611286bbe5d.jpg?v=1601597857,1,,FALSE,,,,,,,,,,,,,,,,,,,
,the-quiet-life-rabbit-t-fa20-d1-sand,Rabbit T - Sand,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>100 cotton Available in classic 6oz thick or premium 4 3oz thin fit Front print</sectionBody></section><section id=""2""><sectionTitle>Size &amp;amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp;amp; Returns</sectionTitle><sectionBody>Standard delivery is 3-7 working days, depending on the service you choose. Customs of each country may delay this time. The shipping cost will depend on size and weight of your package. With USPS, once your parcel has arrived in your country, it will be passed on to an internal postal service, according to standard delivery procedures. A signature is required upon delivery.</sectionBody></section><sizes><size instock=""false""><string>XS - Standard (Thick)</string><variant>36503351132313</variant></size><size instock=""true""><string>S - Standard (Thick)</string><variant>36503351165081</variant></size><size instock=""true""><string>M - Standard (Thick)</string><variant>36503351197849</variant></size><size instock=""true""><string>L - Standard (Thick)</string><variant>36503351230617</variant></size><size instock=""true""><string>XL - Standard (Thick)</string><variant>36503351263385</variant></size><size instock=""false""><string>XS - Premium (Thin)</string><variant>36503351459993</variant></size><size instock=""true""><string>S - Premium (Thin)</string><variant>36503351492761</variant></size><size instock=""true""><string>M - Premium (Thin)</string><variant>36503351525529</variant></size><size instock=""true""><string>L - Premium (Thin)</string><variant>36503351558297</variant></size><size instock=""true""><string>XL - Premium (Thin)</string><variant>36503351591065</variant></size></sizes></sections>",Quiet Life-men,t shirt,"industry:Apparel, quiet-life, new-arrivals, 20fad1, 20fad1-sale-tshirts, 20fad1-short-sleeve-t, 20fad1-tshirts, 20fad1sale, zdfa20d1, t-shirts, graphic-ts",,Title,Default Title,Link,https://thequietlife.com/products/the-quiet-life-rabbit-t-fa20-d1?variant=36503351132313,,,,90,,deny,manual,32.00,,True,True,,https://cdn.shopify.com/s/files/1/0612/2005/products/20FAD1-1150_2_SND_4b296485-a22d-4195-b07b-81ffe7f358ea.jpg?v=1601597857,1,,FALSE,,,,,,,,,,,,,,,,,,,
