Collection,Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google selfuct Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
,multi-purpose-moisturizer,Multi Purpose Moisturizer,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>This is a super concentrated tube of superior skin food It s loaded with the most powerful plant based ingredients on the planet packed into one simple product Think of it as your Swiss Army knife for better skin</sectionBody></section><section id=""2""><sectionTitle>Size &amp;amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp;amp; Returns</sectionTitle><sectionBody>Free US shipping on any order of $35 or more. We offer a 60 Day Trial for all of our gear, which means you have 60 days to try it out, live with it, and love it. If at any point in the first 60 days you decide that you are not 100% satisfied with your new products, return them for a full refund&#8212;no questions asked. Our return policy is simple - love our products, or send them back.</sectionBody></section><sizes><size instock=""true""><string>OS</string><variant>30886338429012</variant></size></sizes></sections>",Supply-men,skincare,"industry:Grooming, supply, skincare",,Title,Default Title,Link,https://supply.com/products/multi-purpose-moisturizer,,,,85,,deny,manual,20.00,,True,True,,https://cdn.shopify.com/s/files/1/1015/5047/products/MPMTransparent_Tiny.png?v=1583865683,1,,FALSE,,,,,,,,,,,,,,,,,,,
,age-defense-eye-cream,Age Defense Eye Cream,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>Meet your new secret weapon in skincare Think of it as a plant based multi vitamin in cream form that works overtime to brighten dark circles and renew aging skin cells</sectionBody></section><section id=""2""><sectionTitle>Size &amp;amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp;amp; Returns</sectionTitle><sectionBody>Free US shipping on any order of $35 or more. We offer a 60 Day Trial for all of our gear, which means you have 60 days to try it out, live with it, and love it. If at any point in the first 60 days you decide that you are not 100% satisfied with your new products, return them for a full refund&#8212;no questions asked. Our return policy is simple - love our products, or send them back.</sectionBody></section><sizes><size instock=""true""><string>OS</string><variant>30886338068564</variant></size></sizes></sections>",Supply-men,skincare,"industry:Grooming, supply, skincare",,Title,Default Title,Link,https://supply.com/products/age-defense-eye-cream,,,,73,,deny,manual,28.00,,True,True,,https://cdn.shopify.com/s/files/1/1015/5047/products/age-defense-eye-cream.png?v=1583864850,1,,FALSE,,,,,,,,,,,,,,,,,,,
,single-edge-blades,Single Edge Blades,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>You don t need another blade in your razor you need a better one Step up your shave game with our Single Edge injector razor blades</sectionBody></section><section id=""2""><sectionTitle>Size &amp;amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp;amp; Returns</sectionTitle><sectionBody>Free US shipping on any order of $35 or more. We offer a 60 Day Trial for all of our gear, which means you have 60 days to try it out, live with it, and love it. If at any point in the first 60 days you decide that you are not 100% satisfied with your new products, return them for a full refund&#8212;no questions asked. Our return policy is simple - love our products, or send them back.</sectionBody></section><sizes><size instock=""true""><string>OS</string><variant>31035793113172</variant></size></sizes></sections>",Supply-men,shaving,"industry:Grooming, supply, accessories",,Title,Default Title,Link,https://supply.com/products/single-edge-blades,,,,14,,deny,manual,6.00,,True,True,,https://cdn.shopify.com/s/files/1/1015/5047/products/Blade_Pack_Side_6bd90a95-ea7c-449b-82eb-7b4554618853.png?v=1583865786,1,,FALSE,,,,,,,,,,,,,,,,,,,
,single-edge-blades,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1015/5047/products/Injector-Blade-Pack-Ortho.png?v=1583865803,2
,single-edge-blades,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1015/5047/products/Injector_Blade_114f9a3b-eaf6-48a1-baa7-05c47aee7fe7.png?v=1583865815,3
,single-edge-blades,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1015/5047/products/Single_Edge_Blade.png?v=1583865834,4
,single-edge-travel-case-bourbon,The Single Edge Travel Case - Bourbon,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>The Single Edge Travel Case is custom designed for the Single Edge razor and handcrafted from full grain leather Whether you re a frequent traveler or occasionally on the road we ve created a beautiful and functional case that ll stand the test of time</sectionBody></section><section id=""2""><sectionTitle>Size &amp;amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp;amp; Returns</sectionTitle><sectionBody>Free US shipping on any order of $35 or more. We offer a 60 Day Trial for all of our gear, which means you have 60 days to try it out, live with it, and love it. If at any point in the first 60 days you decide that you are not 100% satisfied with your new products, return them for a full refund&#8212;no questions asked. Our return policy is simple - love our products, or send them back.</sectionBody></section><sizes><size instock=""true""><string>OS</string><variant>5071339585565</variant></size></sizes></sections>",Supply-men,accessories,"industry:Grooming, supply, accessories",,Title,Default Title,Link,https://supply.com/products/single-edge-travel-case?variant=5071339585565,,,,79,,deny,manual,39.00,,True,True,,https://cdn.shopify.com/s/files/1/1015/5047/products/SE_Travel_Case_925d9f2f-bee3-4c79-aa69-a339be63a867.png?v=1583866589,1,,FALSE,,,,,,,,,,,,,,,,,,,
,single-edge-travel-case-midnight-black,The Single Edge Travel Case - Midnight Black,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>The Single Edge Travel Case is custom designed for the Single Edge razor and handcrafted from full grain leather Whether you re a frequent traveler or occasionally on the road we ve created a beautiful and functional case that ll stand the test of time</sectionBody></section><section id=""2""><sectionTitle>Size &amp;amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp;amp; Returns</sectionTitle><sectionBody>Free US shipping on any order of $35 or more. We offer a 60 Day Trial for all of our gear, which means you have 60 days to try it out, live with it, and love it. If at any point in the first 60 days you decide that you are not 100% satisfied with your new products, return them for a full refund&#8212;no questions asked. Our return policy is simple - love our products, or send them back.</sectionBody></section><sizes><size instock=""true""><string>OS</string><variant>5071397158941</variant></size></sizes></sections>",Supply-men,accessories,"industry:Grooming, supply, accessories",,Title,Default Title,Link,https://supply.com/products/single-edge-travel-case?variant=5071397158941,,,,79,,deny,manual,39.00,,True,True,,https://cdn.shopify.com/s/files/1/1015/5047/products/SE_Travel_Case_black.png?v=1583866615,1,,FALSE,,,,,,,,,,,,,,,,,,,
,single-edge-travel-case-dark-brown,The Single Edge Travel Case - Dark Brown,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>The Single Edge Travel Case is custom designed for the Single Edge razor and handcrafted from full grain leather Whether you re a frequent traveler or occasionally on the road we ve created a beautiful and functional case that ll stand the test of time</sectionBody></section><section id=""2""><sectionTitle>Size &amp;amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp;amp; Returns</sectionTitle><sectionBody>Free US shipping on any order of $35 or more. We offer a 60 Day Trial for all of our gear, which means you have 60 days to try it out, live with it, and love it. If at any point in the first 60 days you decide that you are not 100% satisfied with your new products, return them for a full refund&#8212;no questions asked. Our return policy is simple - love our products, or send them back.</sectionBody></section><sizes><size instock=""true""><string>OS</string><variant>5071397814301</variant></size></sizes></sections>",Supply-men,accessories,"industry:Grooming, supply, accessories",,Title,Default Title,Link,https://supply.com/products/single-edge-travel-case?variant=5071397814301,,,,79,,deny,manual,39.00,,True,True,,https://cdn.shopify.com/s/files/1/1015/5047/products/SE_Travel_Case_dark_brown.png?v=1583866604,1,,FALSE,,,,,,,,,,,,,,,,,,,
,single-edge-razor-stand-classic-matte,Single Edge Razor Stand - Classic Matte,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>The Single Edge Razor Stand is designed to cradle your razor and allow it to dry properly Designed to blend seamlessly with the razor and make your blades last longer Form meet function</sectionBody></section><section id=""2""><sectionTitle>Size &amp;amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp;amp; Returns</sectionTitle><sectionBody>Free US shipping on any order of $35 or more. We offer a 60 Day Trial for all of our gear, which means you have 60 days to try it out, live with it, and love it. If at any point in the first 60 days you decide that you are not 100% satisfied with your new products, return them for a full refund&#8212;no questions asked. Our return policy is simple - love our products, or send them back.</sectionBody></section><sizes><size instock=""true""><string>OS</string><variant>12531007848532</variant></size></sizes></sections>",Supply-men,accessories,"industry:Grooming, supply, accessories",,Title,Default Title,Link,https://supply.com/products/single-edge-razor-stand?variant=12531007848532,,,,173,,deny,manual,29.00,,True,True,,https://cdn.shopify.com/s/files/1/1015/5047/products/Classic_Matte_Razor_Stand.png?v=1583865950,1,,FALSE,,,,,,,,,,,,,,,,,,,
,single-edge-razor-stand-mirror-polish,Single Edge Razor Stand - Mirror Polish,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>The Single Edge Razor Stand is designed to cradle your razor and allow it to dry properly Designed to blend seamlessly with the razor and make your blades last longer Form meet function</sectionBody></section><section id=""2""><sectionTitle>Size &amp;amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp;amp; Returns</sectionTitle><sectionBody>Free US shipping on any order of $35 or more. We offer a 60 Day Trial for all of our gear, which means you have 60 days to try it out, live with it, and love it. If at any point in the first 60 days you decide that you are not 100% satisfied with your new products, return them for a full refund&#8212;no questions asked. Our return policy is simple - love our products, or send them back.</sectionBody></section><sizes><size instock=""true""><string>OS</string><variant>28990856396884</variant></size></sizes></sections>",Supply-men,accessories,"industry:Grooming, supply, accessories",,Title,Default Title,Link,https://supply.com/products/single-edge-razor-stand?variant=28990856396884,,,,173,,deny,manual,29.00,,True,True,,https://cdn.shopify.com/s/files/1/1015/5047/products/Mirror_Polish_Razor_Stand.png?v=1583865962,1,,FALSE,,,,,,,,,,,,,,,,,,,
,single-edge-razor-stand-matte-black,Single Edge Razor Stand - Matte Black,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>The Single Edge Razor Stand is designed to cradle your razor and allow it to dry properly Designed to blend seamlessly with the razor and make your blades last longer Form meet function</sectionBody></section><section id=""2""><sectionTitle>Size &amp;amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp;amp; Returns</sectionTitle><sectionBody>Free US shipping on any order of $35 or more. We offer a 60 Day Trial for all of our gear, which means you have 60 days to try it out, live with it, and love it. If at any point in the first 60 days you decide that you are not 100% satisfied with your new products, return them for a full refund&#8212;no questions asked. Our return policy is simple - love our products, or send them back.</sectionBody></section><sizes><size instock=""true""><string>OS</string><variant>12531008831572</variant></size></sizes></sections>",Supply-men,accessories,"industry:Grooming, supply, accessories",,Title,Default Title,Link,https://supply.com/products/single-edge-razor-stand?variant=12531008831572,,,,173,,deny,manual,29.00,,True,True,,https://cdn.shopify.com/s/files/1/1015/5047/products/Matte_Black_Razor_Stand.png?v=1583865997,1,,FALSE,,,,,,,,,,,,,,,,,,,
,single-edge-razor-stand-jet-black,Single Edge Razor Stand - Jet Black,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>The Single Edge Razor Stand is designed to cradle your razor and allow it to dry properly Designed to blend seamlessly with the razor and make your blades last longer Form meet function</sectionBody></section><section id=""2""><sectionTitle>Size &amp;amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp;amp; Returns</sectionTitle><sectionBody>Free US shipping on any order of $35 or more. We offer a 60 Day Trial for all of our gear, which means you have 60 days to try it out, live with it, and love it. If at any point in the first 60 days you decide that you are not 100% satisfied with your new products, return them for a full refund&#8212;no questions asked. Our return policy is simple - love our products, or send them back.</sectionBody></section><sizes><size instock=""true""><string>OS</string><variant>28990856069204</variant></size></sizes></sections>",Supply-men,accessories,"industry:Grooming, supply, accessories",,Title,Default Title,Link,https://supply.com/products/single-edge-razor-stand?variant=28990856069204,,,,173,,deny,manual,29.00,,True,True,,https://cdn.shopify.com/s/files/1/1015/5047/products/Jet_Black_Razor_Stand.png?v=1583866039,1,,FALSE,,,,,,,,,,,,,,,,,,,
,single-edge-razor-stand-stainless,Single Edge Razor Stand - Stainless,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>The Single Edge Razor Stand is designed to cradle your razor and allow it to dry properly Designed to blend seamlessly with the razor and make your blades last longer Form meet function</sectionBody></section><section id=""2""><sectionTitle>Size &amp;amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp;amp; Returns</sectionTitle><sectionBody>Free US shipping on any order of $35 or more. We offer a 60 Day Trial for all of our gear, which means you have 60 days to try it out, live with it, and love it. If at any point in the first 60 days you decide that you are not 100% satisfied with your new products, return them for a full refund&#8212;no questions asked. Our return policy is simple - love our products, or send them back.</sectionBody></section><sizes><size instock=""true""><string>OS</string><variant>31067412070484</variant></size></sizes></sections>",Supply-men,accessories,"industry:Grooming, supply, accessories",,Title,Default Title,Link,https://supply.com/products/single-edge-razor-stand?variant=31067412070484,,,,173,,deny,manual,29.00,,True,True,,https://cdn.shopify.com/s/files/1/1015/5047/products/Classic_Matte_Razor_Stand.png?v=1583865950,1,,FALSE,,,,,,,,,,,,,,,,,,,
,extra-screw-black,Extra Screw - Black,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>Butterfingers We gotcha covered Pick up an extra screw for your Single Edge Razor It includes an integrated spring and is the perfect backup for your Single Edge Version 1 0 or 2 0 Available in Matte Black or Stainless Steel</sectionBody></section><section id=""2""><sectionTitle>Size &amp;amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp;amp; Returns</sectionTitle><sectionBody>Free US shipping on any order of $35 or more. We offer a 60 Day Trial for all of our gear, which means you have 60 days to try it out, live with it, and love it. If at any point in the first 60 days you decide that you are not 100% satisfied with your new products, return them for a full refund&#8212;no questions asked. Our return policy is simple - love our products, or send them back.</sectionBody></section><sizes><size instock=""true""><string>OS</string><variant>4989661904925</variant></size></sizes></sections>",Supply-men,accessories,"industry:Grooming, supply, accessories, spo-disabled",,Title,Default Title,Link,https://supply.com/products/extra-screw?variant=4989661904925,,,,6,,deny,manual,4.00,,True,True,,https://cdn.shopify.com/s/files/1/1015/5047/products/Screw.png?v=1583864901,1,,FALSE,,,,,,,,,,,,,,,,,,,
,extra-screw-black,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1015/5047/products/Screw_e6272f40-5fc8-48af-b7ab-bb57dd248dc6.png?v=1571446919,2
