Collection,Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google selfuct Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
,dark-days-brown-black-brown-black,DARK DAYS TEE - BROWN/BLACK,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>100 Cotton Ring Spun Tee Custom Wash Tie Dye Front Chest Discharge Screen Print Custom Front Hem Clamp label</sectionBody></section><section id=""2""><sectionTitle>Size &amp;amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp;amp; Returns</sectionTitle><sectionBody>Free shipping on U.S. orders over $100. You can return unworn and unused clothes to our warehouse within 30 days from point of purchase for a refund or store credit.</sectionBody></section><sizes><size instock=""true""><string>S</string><variant>21442909700179</variant></size><size instock=""true""><string>M</string><variant>21442909732947</variant></size><size instock=""false""><string>L</string><variant>21442909765715</variant></size><size instock=""false""><string>XL</string><variant>21442909798483</variant></size></sizes></sections>",Altamont-men,s/s basic t-shirt,"industry:Apparel, altamont-apparel, t-shirts, 201, o-sp19",,Title,Default Title,Link,https://altamontapparel.com/products/dark-days-brown-black?variant=21442909700179,,,,181,,deny,manual,23.99,34.00,True,True,,https://cdn.shopify.com/s/files/1/1954/8003/products/3130002569-201-F.jpg?v=1549931088,1,,FALSE,,,,,,,,,,,,,,,,,,,
,dark-days-military-military,DARK DAYS TEE - MILITARY,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>100 Cotton Ring Spun Tee Custom Wash Tie Dye Front Chest Discharge Screen Print Custom Front Hem Clamp label</sectionBody></section><section id=""2""><sectionTitle>Size &amp;amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp;amp; Returns</sectionTitle><sectionBody>Free shipping on U.S. orders over $100. You can return unworn and unused clothes to our warehouse within 30 days from point of purchase for a refund or store credit.</sectionBody></section><sizes><size instock=""true""><string>S</string><variant>21352110620755</variant></size><size instock=""false""><string>M</string><variant>21352110653523</variant></size><size instock=""false""><string>L</string><variant>21352110686291</variant></size><size instock=""false""><string>XL</string><variant>21352110719059</variant></size></sizes></sections>",Altamont-men,s/s basic t-shirt,"industry:Apparel, altamont-apparel, t-shirts, 343, o-sp19",,Title,Default Title,Link,https://altamontapparel.com/products/dark-days-military?variant=21352110620755,,,,181,,deny,manual,23.99,34.00,True,True,,https://cdn.shopify.com/s/files/1/1954/8003/products/3130002569-343-F.jpg?v=1549931127,1,,FALSE,,,,,,,,,,,,,,,,,,,
,dark-days-black-purple-black-purple,DARK DAYS TEE - BLACK/PURPLE,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>100 Cotton Ring Spun Tee Custom Wash Tie Dye Front Chest Discharge Screen Print Custom Front Hem Clamp label</sectionBody></section><section id=""2""><sectionTitle>Size &amp;amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp;amp; Returns</sectionTitle><sectionBody>Free shipping on U.S. orders over $100. You can return unworn and unused clothes to our warehouse within 30 days from point of purchase for a refund or store credit.</sectionBody></section><sizes><size instock=""true""><string>S</string><variant>21442909536339</variant></size><size instock=""true""><string>M</string><variant>21442909569107</variant></size><size instock=""false""><string>L</string><variant>21442909601875</variant></size><size instock=""false""><string>XL</string><variant>21442909634643</variant></size></sizes></sections>",Altamont-men,s/s basic t-shirt,"industry:Apparel, altamont-apparel, t-shirts, 550, o-sp19",,Title,Default Title,Link,https://altamontapparel.com/products/dark-days-black-purple?variant=21442909536339,,,,181,,deny,manual,23.99,34.00,True,True,,https://cdn.shopify.com/s/files/1/1954/8003/products/3130002569-550-F.jpg?v=1549931174,1,,FALSE,,,,,,,,,,,,,,,,,,,
,dark-days-black-orange-black-orange,DARK DAYS TEE - BLACK/ORANGE,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>100 Cotton Ring Spun Tee Custom Wash Tie Dye Front Chest Discharge Screen Print Custom Front Hem Clamp label</sectionBody></section><section id=""2""><sectionTitle>Size &amp;amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp;amp; Returns</sectionTitle><sectionBody>Free shipping on U.S. orders over $100. You can return unworn and unused clothes to our warehouse within 30 days from point of purchase for a refund or store credit.</sectionBody></section><sizes><size instock=""true""><string>S</string><variant>21352110817363</variant></size><size instock=""true""><string>M</string><variant>21352110850131</variant></size><size instock=""false""><string>L</string><variant>21352110882899</variant></size><size instock=""false""><string>XL</string><variant>21352110915667</variant></size></sizes></sections>",Altamont-men,s/s basic t-shirt,"industry:Apparel, altamont-apparel, t-shirts, 960, c-sp19, o-fa18",,Title,Default Title,Link,https://altamontapparel.com/products/dark-days-black-orange?variant=21352110817363,,,,181,,deny,manual,23.99,34.00,True,True,,https://cdn.shopify.com/s/files/1/1954/8003/products/3130002569-960-F.jpg?v=1550175554,1,,FALSE,,,,,,,,,,,,,,,,,,,
,one-liner-wash-coffee-coffee,ONE LINER WASH TEE - COFFEE,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>100 Cotton Ring Spun Tee Custom Mineral Wash Front Soft Hand Plastisol Screen Print Custom Front Hem Clamp Label</sectionBody></section><section id=""2""><sectionTitle>Size &amp;amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp;amp; Returns</sectionTitle><sectionBody>Free shipping on U.S. orders over $100. You can return unworn and unused clothes to our warehouse within 30 days from point of purchase for a refund or store credit.</sectionBody></section><sizes><size instock=""true""><string>S</string><variant>21352113897555</variant></size><size instock=""true""><string>M</string><variant>21352113930323</variant></size><size instock=""true""><string>L</string><variant>21352113963091</variant></size><size instock=""true""><string>XL</string><variant>21352113995859</variant></size></sizes></sections>",Altamont-men,s/s basic t-shirt,"industry:Apparel, altamont-apparel, t-shirts, 220, c-sp19, o-fa18",,Title,Default Title,Link,https://altamontapparel.com/products/one-liner-wash-coffee?variant=21352113897555,,,,159,,deny,manual,20.99,30.00,True,True,,https://cdn.shopify.com/s/files/1/1954/8003/products/One-Liner-Wash_Tee_Java_d5b62e0e-d007-40f7-84cd-f671a34a4f27.jpg?v=1547141994,1,,FALSE,,,,,,,,,,,,,,,,,,,
,one-liner-wash-black-black-black-black,ONE LINER WASH TEE - BLACK/BLACK,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>100 Cotton Ring Spun Tee Custom Mineral Wash Front Soft Hand Plastisol Screen Print Custom Front Hem Clamp Label</sectionBody></section><section id=""2""><sectionTitle>Size &amp;amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp;amp; Returns</sectionTitle><sectionBody>Free shipping on U.S. orders over $100. You can return unworn and unused clothes to our warehouse within 30 days from point of purchase for a refund or store credit.</sectionBody></section><sizes><size instock=""true""><string>S</string><variant>21352114192467</variant></size><size instock=""true""><string>M</string><variant>21352114225235</variant></size><size instock=""true""><string>L</string><variant>21352114258003</variant></size><size instock=""true""><string>XL</string><variant>21352114290771</variant></size></sizes></sections>",Altamont-men,s/s basic t-shirt,"industry:Apparel, altamont-apparel, t-shirts, 003, c-sp19, o-fa18",,Title,Default Title,Link,https://altamontapparel.com/products/one-liner-wash-black-black?variant=21352114192467,,,,181,,deny,manual,20.99,30.00,True,True,,https://cdn.shopify.com/s/files/1/1954/8003/products/3130002568-003-F.jpg?v=1550174389,1,,FALSE,,,,,,,,,,,,,,,,,,,
,spider-pocket-tee-grey-grey,SPIDER POCKET TEE - GREY,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>100 Cotton Pigment Dyed Tee Water Based Screen Print Custom Front Hem Clamp Label</sectionBody></section><section id=""2""><sectionTitle>Size &amp;amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp;amp; Returns</sectionTitle><sectionBody>Free shipping on U.S. orders over $100. You can return unworn and unused clothes to our warehouse within 30 days from point of purchase for a refund or store credit.</sectionBody></section><sizes><size instock=""true""><string>S</string><variant>21442909864019</variant></size><size instock=""true""><string>M</string><variant>21442909896787</variant></size><size instock=""false""><string>L</string><variant>21442909929555</variant></size><size instock=""false""><string>XL</string><variant>21442909962323</variant></size></sizes></sections>",Altamont-men,s/s basic t-shirt,"industry:Apparel, altamont-apparel, t-shirts, 020, o-sp19",,Title,Default Title,Link,https://altamontapparel.com/products/spider-pocket-tee-grey?variant=21442909864019,,,,181,,deny,manual,17.99,25.00,True,True,,https://cdn.shopify.com/s/files/1/1954/8003/products/3130002571-020-F.jpg?v=1549933792,1,,FALSE,,,,,,,,,,,,,,,,,,,
,spider-pocket-tee-grey-grey,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1954/8003/products/3130002571-020-B.jpg?v=1549933792,2
,alt-a-tee-charcoal-heather-charcoal-heather,ALT A TEE - CHARCOAL/HEATHER,"<sections><section id=""1""><sectionTitle>Details</sectionTitle><sectionBody>90 Cotton 10 Poly Heather Tee Water Based Screen Print Custom Front Hem Clamp Label</sectionBody></section><section id=""2""><sectionTitle>Size &amp;amp; Fit</sectionTitle><sectionBody>Click buy for more sizing information.</sectionBody></section><section id=""3""><sectionTitle>Shipping &amp;amp; Returns</sectionTitle><sectionBody>Free shipping on U.S. orders over $100. You can return unworn and unused clothes to our warehouse within 30 days from point of purchase for a refund or store credit.</sectionBody></section><sizes><size instock=""true""><string>S</string><variant>21442910355539</variant></size><size instock=""true""><string>M</string><variant>21442910421075</variant></size><size instock=""true""><string>L</string><variant>21442910453843</variant></size><size instock=""true""><string>XL</string><variant>21442910486611</variant></size></sizes></sections>",Altamont-men,s/s basic t-shirt,"industry:Apparel, altamont-apparel, t-shirts, 011, o-sp19",,Title,Default Title,Link,https://altamontapparel.com/products/alt-a-tee-charcoal-heather?variant=21442910355539,,,,181,,deny,manual,19.99,28.00,True,True,,https://cdn.shopify.com/s/files/1/1954/8003/products/3130002575-011-F.jpg?v=1549931688,1,,FALSE,,,,,,,,,,,,,,,,,,,
,alt-a-tee-charcoal-heather-charcoal-heather,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1954/8003/products/3130002575-011-B.jpg?v=1549931688,2
